Timestamp,Attended,status,city,province_state,country,gender,pronouns,join_sprint,role,os_system,student_school,student_field,company,are_you_urp,learn_of_sprint,contributor_status,prior_sprints,os_experience,prior_os,prior_pr,git,prog_langs,python_experience,used_sklearn,scikit_repo_familiar,why_in_sprint,can_do_postwork,can_do_prepwork,internet_data,primary_spoken_language,count_rows,status_c
9/14/2021 23:22:28,1,1,Vilnius,Vilniaus,Lithuania,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,Windows,,,Syno International,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, in February 2021 (Online)  (Africa Middle East)",Beginner,"Yes, submitted a PR to a code repository, Yes, writing blogs",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past","I use some form of open source software every single day. Open source software, including the scikit-learn library, plays an important role in my life and using my skills to give back and help with improving the software I depend on is a huge privilege. I also get to learn a lot from the source code. Going through the code of scikit-learn with hundreds or even thousands of contributors, I gain immense knowledge about best practices and code quality.",Yes,Yes,No,English,1,Attended
9/15/2021 3:17:15,did not RSVP,0,Ilala,Dar es salaam,Tanzania,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Software developer","Mac, Windows",,,Inalipa,"Yes, I identify as an under-represented person.","a friend, colleague, etc.  (word of mouth)",new,"No, never.",Intermediate,"Yes, answering user questions on StackOverflow or Quora (or other platform)",No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++, Javascript",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",to gain experience on participating on OS,Yes,Yes,No,English,1,Did Not Attend
9/15/2021 3:41:59,1,1,Alahsa,Eastern Province,Saudi Arabia,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Researcher,"Linux, Mac, Windows",,,Saudi Electronic University,"No, I do not identify as an under-represented person.",Twitter,returning,"Yes, in February 2021 (Online)  (Africa Middle East)",Intermediate,"Yes, submitted a PR to a code repository, Yes, answering user questions on StackOverflow or Quora (or other platform)",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, MATLAB, C+ / C++, Java",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",I want to give back to the project that helped me during my graduate study,Yes,Yes,No,"Arabic, English",1,Attended
9/15/2021 7:44:14,no show,0,Dhaka,Dhaka,Bangladesh,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Engineer, Software developer",Linux,,,Infolytx,"Yes, I identify as an under-represented person.",Twitter,new,"No, never.",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing blogs",No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository, used Git, but am not comfortable",Python,Intermediate,I am highly experienced with scikit-learn.,"I am familiar, I have looked at the codebase.","I have been using Scikit-learn for 3 years, and I love this library. I want to contribute in this sprint to show my gratitude and giving back something to the community. ",Yes,Yes,No,English,1,Did Not Attend
9/15/2021 8:02:09,1,1,Postmasburg ,Northern Cape ,South Africa,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Statistician","Windows, Cloud",,,Kumba Iron Ore,"Yes, I identify as an under-represented person.",LinkedIn,new,"No, never.",Intermediate,"Yes, writing blogs",No,comfortable submitting a PR,"Python, MATLAB, C+ / C++",Advanced,I am highly experienced with scikit-learn.,"I am familiar, I have looked at the codebase.",To contribute to opens source prjects,Yes,Yes,No,English,1,Attended
9/15/2021 9:27:04,did not RSVP,0,Johannesburg,Gauteng,South Africa,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Student",Windows,,,,"Yes, I identify as an under-represented person.",LinkedIn,new,"No, never.",No experience,No,No,comfortable cloning a repository,"Python, R",Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,I need to gain experience and learn to contribute to open source.,Yes,Yes,Yes,English,1,Did Not Attend
9/15/2021 9:32:58,1,1,Almaty,Almaty,Kazakhstan,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Researcher,"Linux, Mac",,,,"No, I do not identify as an under-represented person.",LinkedIn,new,"No, never.",Beginner,"Yes, submitted a PR to a code repository, Yes, writing technical documentation, Yes, answering user questions on StackOverflow or Quora (or other platform)",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, Stata",Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,Experience,Yes,Not sure,No,English,1,Attended
9/15/2021 14:49:15,did not RSVP,0,Johannesburg,Gauteng Province,South Africa,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Student",Linux,UNISA,BSc: Applied Mathematics and Computer Science ,Umuzi.org,I identify as an Ally in data science.,LinkedIn,new,"No, never.",Beginner,"Yes, writing technical documentation",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,"I would like gain professional skills including communication, teamwork, and problem solving. In addition, open source interactions will provide  me with an opportunity to network with professionals while building a public portfolio of my work. I would also like to have fun while doing it ;)",Yes,Yes,Yes,English,1,Did Not Attend
9/15/2021 15:28:38,no show,0,"Lagos, Nigeria","Lagos State, Nigeria",Nigeria,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,Windows,,,Flutterwave ,"Yes, I identify as an under-represented person.",by invitation,new,"No, never.",Beginner,"Yes, submitted a PR to a code repository",No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository, used Git, but am not comfortable",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",I am interested in this OS sprint because it’s an opportunity to learn from other machine learning practitioners and importantly learn how to contribute to the open-source community ,Yes,Yes,No,English,1,Did Not Attend
9/16/2021 7:59:14,canceled,0,Bursa,Nilufer,Turkey,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Engineer, Software developer","Linux, Windows, Cloud",,,Manufacturing,"Yes, I identify as an under-represented person.",LinkedIn,new,"No, never.",Intermediate,No,No,"comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++, Java",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",I want to learn be part of organization and also improve community,Yes,Yes,No,English,1,Did Not Attend
9/16/2021 22:08:57,did not RSVP,0,Eugene,Oregon,USA,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Student,Mac,University of Oregon,Master of Computer and Information Science,,"Yes, I identify as an under-represented person.",LinkedIn,new,"No, never.",Beginner,"Yes, answering user questions on StackOverflow or Quora (or other platform)",No,"comfortable setting up virtual environment, comfortable cloning a repository, used Git, but am not comfortable","Python, Java",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",I would like further my career in Machine Learning.,Not sure I cannot commit to it.,Yes,No,English,1,Did Not Attend
9/17/2021 3:55:34,no show,0,Takoradi,Western Region,Ghana,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Analyst, Instructor","Linux, Windows",No,,OpenLabs Ghana,I prefer not to answer this question.,LinkedIn,new,"No, never.",No experience,No,No,"comfortable submitting a PR, comfortable cloning a repository","Python, R, MATLAB",Advanced,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",To get a first time expensive and also to broaden my knowledge,Yes,Yes,No,English,1,Did Not Attend
9/17/2021 12:58:32,did not RSVP,0,Jeddah,Makkah,Saudi Arabia,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,"Linux, Mac",,,,"Yes, I identify as an under-represented person.",Slack,returning,"Yes, in February 2021 (Online)  (Africa Middle East)",Intermediate,"Yes, submitted a PR to a code repository",Yes,comfortable submitting a PR,"Python, MATLAB, C+ / C++, Java, Julia",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",Make my second contribution to sklearn,Yes,Yes,No,English,1,Did Not Attend
9/17/2021 14:34:22,no show,0,Ikorodu ,Lagos State ,Nigeria,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,Linux,Federal University of Agriculture Abeokuta ,Computer Science ,Zummit infolabs ,"Yes, I identify as an under-represented person.","a friend, colleague, etc.  (word of mouth)",new,"No, never.",Beginner,No,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I am highly experienced with scikit-learn.,"I am familiar, I have looked at the codebase.","I see it as an opportunity for me to start making contributions to open source projects, where better to start than a project I'm very well farmiliar with. ",Yes,Yes,Yes,English,1,Did Not Attend
9/18/2021 8:20:55,1,1,Antiguo Cuscatlán,La Libertad,El Salvador,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Student","Linux, Windows",,,,"No, I do not identify as an under-represented person.",Twitter,new,"No, never.",Beginner,Currently working on my first PR,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, Java",Intermediate,I've use most of the functionalities but still not an expert,I have never looked at the source code for scikit-learn.,I want to learn and contribute more to scikit-learn specially after release,Yes,Yes,No,Spanish,1,Attended
9/19/2021 11:24:48,no show,0,Ikorodu,Lagos,Nigeria,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Student",Windows,University of Lagos.,Bachelors of Science; Process Engineering,Josplay,I prefer not to answer this question.,by invitation,new,"No, never.",Beginner,"Yes, submitted a PR to a code repository, Yes, writing blogs",Yes,comfortable submitting a PR,Python,Intermediate,I am highly experienced with scikit-learn.,"I am familiar, I have looked at the codebase.",I am passionate about machine learning and Sklearn was fundamental to my getting started. I would thus like to give back by contributing. ,Yes,Yes,No,English,1,Did Not Attend
9/19/2021 12:56:26,did not RSVP,0,Warsaw,Mazowieckie,Poland,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Software developer,"Linux, Windows",,,FHU BOHEMA,"Yes, I identify as an under-represented person.",PyLadies Tunis,new,"No, never.",Beginner,"Yes, writing technical documentation, Yes, writing blogs",No,"used Git, but am not comfortable","Python, C+ / C++",Intermediate,I am highly experienced with scikit-learn.,I have never looked at the source code for scikit-learn.,Incrase my professional skills and my knownledge.,Yes,Yes,No,"English, Polish",1,Did Not Attend
9/19/2021 14:34:22,did not RSVP,0,Nairobi,Nairobi,Kenya,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Software developer",Linux,,,Sancom Limited,"Yes, I identify as an under-represented person.",Meetup,new,"No, never.",Beginner,No,No,comfortable submitting a PR,Python,Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,I want to participate in Open Source contribution.,Yes,Yes,Yes,English,1,Did Not Attend
9/19/2021 22:58:45,did not attend,0,Abeokuta,Ogun Stage,Nigeria,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Student",Windows,"Federal University of Agriculture, Abeokuta.","Computer Science, Machine Learning Engineering",Zummit InfoLabs,"I prefer not to answer this question., I identify as an Ally in data science.","a friend, colleague, etc.  (word of mouth)",new,"No, never.",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing blogs",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,It would be a great opportunity to give back to the scikit-learn community and to fuel my love for open source more. 💖💖,Yes,Yes,No,English,1,Did Not Attend
9/20/2021 1:28:12,1,1,Nairobi,Nairobi,Kenya,Man,he/him,"Yes, on a different day","Data Scientist, Analyst, Statistician",Linux,,,InfoTrace Analytics,"Yes, I identify as an under-represented person.","a friend, colleague, etc.  (word of mouth)",returning,"Yes, in June 2020 (Online)  (Global)",Beginner,"Yes, submitted a PR to a code repository",Yes,comfortable submitting a PR,"Python, R",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past","To give back, improve myself, and network.",Yes,Yes,No,English,1,Attended
9/20/2021 3:35:30,1,1,Dublin,Dublin,Ireland,Man,he/him,No,Data Scientist,Windows,,,CKDelta,"No, I do not identify as an under-represented person.",by invitation,returning,"Yes, in February 2021 (Online)  (Africa Middle East)",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing technical documentation",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R",Intermediate,I am highly experienced with scikit-learn.,"I am familiar, I have submitted a PR in the past",I am a returning contributor. Happy to support Data Umbrella and be a part of the community.,Yes,Yes,No,"English, Turkish",1,Attended
9/20/2021 6:57:23,1,1,Nairobi,Nairobi,Kenya,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Analyst,Linux,,,HT,"No, I do not identify as an under-represented person.",by invitation,returning,"Yes, June 2019 (Nairobi)",Intermediate,"Yes, submitted a PR to a code repository",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past","I participated in the OS sprint in 2019 and was able to learn from peers in the industry, I want to participate again to contribute to a lib I have been avidly using and to learn from people in different regions.",Yes,Yes,No,English,1,Attended
9/21/2021 1:08:42,1,1,New York City,New York,USA,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Student, Software developer",Mac,,,Self-employed,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, in June 2020 (Online)  (Global), Yes, in June 2021 (Online) (Latin America)",Beginner,"Yes, submitted a PR to a code repository",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",I want to become more familiar with OS and Sklearn by looking at the codebase. ,Yes,Yes,No,English,1,Attended
